Номер тиража;выигрышная комбинация;;;;;вариантов;5 номеров;;4 номера;;3 номера;
;;;;;;;кол-во;выигрыш;кол-во;выигрыш;кол-во;выигрыш
1;1;9;10;21;22;3 022 694;22;8 261;2 214;128;73 868;6
2;1;6;10;21;35;4 095 693;40;6 170;3 294;130;92 283;6
3;3;7;14;24;33;4 380 750;49;5 381;4 492;99;121 164;5
4;7;20;23;26;29;4 424 558;15;10 000;2 330;196;90 056;8
5;2;6;26;29;33;4 125 081;13;10 000;2 170;191;76 948;9
6;2;9;12;30;35;4 285 475;17;10 000;2 789;148;100 311;7
7;11;16;27;32;33;4 439 884;5;10 000;3 962;102;109 520;8
8;8;19;21;34;36;4 567 404;29;9 623;4 514;96;132 194;5
9;14;17;18;25;27;4 715 292;30;9 497;4 340;97;141 736;5
10;2;3;5;10;17;4 287 284;24;10 000;3 527;133;114 939;5
11;2;6;8;17;18;4 842 114;14;10 000;2 656;167;96 623;9
12;2;3;6;14;21;4 873 598;22;10 000;3 437;152;119 712;6
13;7;10;27;28;32;6 025 992;27;10 000;4 027;138;140 709;7
14;11;12;14;25;30;4 726 589;17;10 000;3 136;135;102 886;8
15;1;14;15;16;17;4 973 797;18;10 000;4 287;108;106 305;8
16;7;16;18;26;32;4 866 206;13;10 000;2 603;191;92 480;9
17;3;10;11;19;30;4 552 995;24;10 000;4 851;135;120 644;3
18;7;8;13;23;26;3 313 870;11;10 000;2 241;169;84 601;6
19;5;11;17;20;36;3 870 624;22;10 000;3 621;112;107 354;5
20;6;9;12;17;30;4 317 281;22;10 000;4 618;110;141 690;4
21;12;14;18;25;32;4 099 976;7;10 000;2 071;193;76 037;10
22;8;9;19;22;35;3 736 859;20;10 000;3 618;114;101 851;5
23;2;8;20;31;33;3 676 317;10;10 000;2 435;136;83 961;8
24;5;8;14;27;36;3 916 494;17;10 000;2 875;139;86 319;7
25;1;2;13;16;21;3 838 839;13;10 000;3 243;119;105 797;6
26;5;13;16;17;29;4 316 208;17;10 000;3 521;114;120 854;6
27;2;6;10;23;24;3 397 353;21;9 811;3 327;96;98 849;5
28;5;7;9;11;18;3 614 630;30;7 261;5 126;66;132 060;4
29;1;8;28;31;36;3 526 495;11;10 000;2 306;170;79 309;7
30;8;15;26;27;36;3 448 300;7;10 000;1 925;183;76 443;8
31;25;26;29;31;33;3 205 981;11;10 000;1 387;228;48 793;11
32;1;10;19;31;32;3 251 692;7;10 000;1 493;224;57 008;10
33;5;9;10;22;34;3 567 988;14;10 000;3 092;112;97 423;6
34;2;3;10;20;28;3 475 513;14;10 000;3 586;86;98 166;6
35;7;24;25;29;33;3 420 794;8;10 000;1 898;170;69 398;9
36;3;12;14;30;35;3 233 997;44;4 485;4 746;80;98 669;4
37;4;23;29;32;36;3 522 514;13;10 000;2 372;168;87 813;6
38;9;18;20;21;32;3 447 306;19;10 000;2 487;136;84 257;6
39;1;15;21;32;36;3 927 307;7;10 000;2 008;186;73 530;10
40;3;13;15;19;22;3 369 725;10;10 000;2 942;117;94 524;6
41;2;12;18;28;34;3 583 528;22;9 779;2 601;147;79 710;6
42;5;16;19;24;32;3 747 730;48;4 686;3 964;108;94 251;5
43;6;9;11;15;31;3 841 546;18;10 000;4 904;79;145 960;4
44;2;4;5;14;31;3 772 208;11;10 000;1 610;230;72 398;9
45;7;16;17;18;20;2 933 596;9;10 000;2 641;103;86 230;6
46;3;9;17;29;36;3 976 074;40;5 993;4 898;94;123 596;4
47;7;11;28;29;36;4 083 923;7;10 000;2 494;154;85 609;9
48;5;15;20;21;33;4 099 104;15;10 000;3 522;136;119 897;5
49;1;5;19;21;35;4 195 644;33;7 665;3 218;132;97 141;6
50;12;21;24;27;31;4 870 425;15;10 000;2 526;176;96 242;9
51;2;14;16;19;31;4 559 826;24;10 000;3 011;144;98 941;7
52;1;8;11;14;17;9 603 181;25;10 000;8 363;120;232 009;7
