номер тиража;выигрышная комбинация;;;;;вариантов;5 номеров;;4 номера;;3 номера;
;;;;;;;кол-во;сумма;кол-во;сумма;кол-во;сумма
1;3;15;26;30;32;3 708 567;3;10 000;1 728;208;72 728;10
2;10;14;24;28;32;5 648 480;25;10 000;5 480;104;173 194;5
3;7;11;14;22;25;7 016 201;14;10 000;3 209;234;134 568;9
4;4;s;14;22;24;7 070 021;51;8 418;6 237;106;171 756;6
5;12;23;29;31;34;7 333 097;89;4 971;11 151;72;238 848;4
6;4;8;15;27;31;7 039 064;31;10 000;5 489;119;190 896;6
7;1;10;15;28;33;7 749 484;29;10 000;3 893;193;160 303;8
8;4;8;20;30;32;7 729 244;24;10 000;3 410;211;135 826;10
9;22;24;32;34;36;7 453 879;24;10 000;8 518;94;199 034;6
10;14;19;25;29;33;7 778 666;230;2 057;10 616;76;210 705;5
11;1;13;15;31;34;7 698 144;133;3 503;8 070;89;187 531;6
12;4;8;13;19;36;7 673 296;35;10 000;6 499;115;200 510;6
13;6;21;23;31;33;8 265 315;23;10 000;5 196;159;177 661;8
14;3;s;7;11;19;6 233 020;3;10 000;2 489;247;111 340;11
15;1;12;28;32;34;6 647 757;30;10 000;7 807;98;231 203;4
16;10;13;17;26;30;7 177 825;17;10 000;2 999;217;133 230;10
17;s;12;16;29;31;6 906 888;51;8 194;5 338;126;163 589;6
18;2;9;18;19;24;5 825 722;24;10 000;6 106;102;176 855;5
19;10;24;26;27;30;5 935 730;57;6 254;9 417;79;226 763;3
20;7;9;22;25;29;6 586 806;28;10 000;5 376;117;177 183;6
21;4;9;20;26;30;6 132 431;34;10 000;5 411;109;150 944;6
22;16;21;24;30;34;5 969 841;22;10 000;3 774;174;130 389;7
23;9;10;30;34;35;5 317 091;48;6 769;7 312;65;198 727;4
24;4;15;16;28;31;5 663 390;30;10 000;4 738;109;146 368;6
25;2;7;20;23;27;5 596 842;42;8 122;8 378;75;177 393;4
26;4;s;13;24;34;6 211 202;27;10 000;4 543;131;166 032;6
27;4;7;11;16;24;5 207 739;26;10 000;4 924;113;148 358;5
29;4;9;16;19;28;5 700 659;33;10 000;7 189;87;150 355;5
30;1;8;23;29;32;5 759 848;21;10 000;4 447;123;138 570;7
31;6;10;16;22;36;5 482 341;19;10 000;4 251;126;152 984;6
32;7;10;21;30;34;5 312 407;142;2 294;9 146;54;154 800;5
33;s;8;10;14;31;5 858 967;15;10 000;1 976;298;101 829;10
34;3;4;10;26;31;5 564 730;61;5 552;6 696;75;165 702;5
35;4;10;16;29;30;5 792 017;13;10 000;2 704;231;122 721;8
36;2;6;20;30;35;5 347 788;23;10 000;3 865;151;112 479;7
37;1;4;10;11;27;5 531 838;12;10 000;2 312;236;90 150;11
38;s;9;22;28;31;5 780 376;24;10 000;5 005;125;172 996;5
39;s;6;14;20;21;6 531 136;30;10 000;5 256;134;190 485;5
40;8;9;10;27;36;5 886 627;47;7 701;9 001;71;191 242;4
41;16;19;22;28;32;5 275 592;9;10 000;2 637;183;100 840;10
42;8;9;11;22;36;6 349 697;26;10 000;4 996;143;154 322;6
43;3;12;14;26;29;6 391 258;68;5 691;7 576;76;190 917;5
44;1;s;10;21;25;6 489 572;19;10 000;5 021;122;163 461;7
45;7;12;20;24;26;5 886 044;38;9 371;5 954;95;168 814;5
46;s;7;11;14;30;6 374 337;49;7 811;6 823;88;185 826;5
47;1;2;s;13;25;6 645 779;6;10 000;2 497;241;120 985;11
48;s;17;22;26;30;6 574 490;20;10 000;3 772;196;172 043;6
49;3;11;15;33;35;6 525 482;21;10 000;4 491;147;155 231;7
50;6;10;16;30;33;7 162 608;5;10 000;2 669;273;124 551;11
51;6;7;24;25;28;7 298 546;36;10 000;6 634;125;199 016;5
52;13;16;17;26;29;7 506 251;49;9 464;6 472;133;196 514;5
