номер тиража;выигрышная коибинация;;;;;вариантов;5 номеров;;4 номера;;3 номера;
;;;;;;;кол-во;сумма;кол-во;сумма;кол-во;сумма
1;4;11;16;21;24;8 245 528;25;15 963;4 570;136;121 805;8
2;7;13;28;33;34;10 251 240;31;16 005;4 923;170;143 050;8
3;13;16;30;31;35;11 981 132;10;57 988;2 684;326;111 095;13
4;1;5;8;19;30;8 655 529;29;35 750;3 416;480;108 941;23
5;8;13;17;26;36;7 412 694;30;29 250;3 546;382;102 586;21
6;1;10;12;26;32;6 923 106;7;118 163;1 664;772;59 525;34
7;5;17;19;21;34;6 663 018;50;16 291;3 793;333;94 861;21
8;1;4;12;33;36;6 504 221;12;67 640;1 795;690;59 050;34
9;14;16;27;34;35;6 088 922;4;193 569;2 076;593;71 757;26
10;23;26;33;34;36;9 682 260;15;88 078;2 358;871;85 023;38
11;13;14;22;29;36;5 899 036;19;42 192;2 034;595;66 539;30
12;4;7;19;31;32;6 517 883;16;57 286;2 441;588;85 787;26
13;9;11;15;29;31;5 974 492;32;27 094;3 853;353;100 368;21
14;4;9;10;16;35;5 499 480;8;96 447;1 811;661;65 111;29
15;5;7;13;15;18;5 596 285;9;87 080;2 569;467;84 041;23
16;1;14;18;26;30;5 534 677;7;110 496;1 798;652;53 371;36
17;5;6;10;22;28;5 569 700;6;129 523;2 117;577;78 603;24
18;1;24;27;30;34;5 143 404;7;102 377;998;1 119;43 740;40
19;13;21;28;29;34;4 947 757;10;68 727;2 116;510;66 727;25
20;14;15;22;29;32;8 321 977;18;64 880;3 257;538;104 158;28
21;3;9;12;15;18;5 466 516;34;22 348;2 675;426;79 064;24
23;3;12;22;35;36;5 342 308;5;147 399;1 533;722;48 423;38
24;7;11;17;33;35;5 352 769;30;24 560;2 927;397;84 883;21
25;5;12;25;27;31;5 503 382;25;30 327;3 147;386;82 551;22
26;3;15;30;32;36;5 278 108;10;72 567;1 905;579;58 002;31
27;5;8;16;18;27;5 860 281;24;33 646;4 468;279;99 153;20
28;9;11;12;13;29;5 387 490;16;46 294;2 243;502;76 509;24
29;2;3;9;11;14;5 340 287;7;104 488;1 556;729;61 741;29
30;7;21;26;27;32;7 832 796;14;77 683;2 485;684;91 371;29
31;9;16;26;28;33;5 434 575;12;62 023;2 803;404;70 887;26
32;10;12;15;17;30;5 671 683;13;59 775;2 559;455;84 420;23
33;1;2;30;31;32;5 776 694;33;23 982;1 382;866;44 741;44
34;6;20;27;28;30;5 800 907;5;158 241;1 893;643;72 091;27
35;5;10;12;16;26;5 760 185;11;71 552;2 707;459;76 231;25
36;11;17;19;31;34;5 580 154;32;23 810;2 636;463;83 008;22
37;1;6;28;31;32;5 724 867;13;60 163;1 654;710;59 193;33
38;12;16;17;24;29;5 774 101;18;43 777;2 450;499;68 832;28
39;1;16;23;27;30;5 961 105;85;9 576;2 064;600;63 023;32
40;3;8;12;33;34;9 120 507;26;48 559;3 223;608;110 268;28
41;1;4;21;22;30;6 662 394;17;53 604;2 179;641;74 891;30
43;6;9;12;24;31;7 327 497;13;77 124;2 592;588;88 749;28
44;16;17;18;27;34;7 235 098;21;47 162;2 524;592;94 864;26
45;5;25;28;31;36;4 825 659;6;402 224;1 951;1 878;68 052;88
46;10;17;20;26;29;3 921 163;13;143 777;1 824;1 555;52 715;88
47;11;13;20;22;25;2 988 243;3;489 736;1 030;2 162;34 433;106
48;6;7;22;30;31;2 881 189;5;289 273;1 035;2 113;32 711;110
49;3;8;14;22;23;2 760 705;6;237 421;1 532;1 411;38 852;91
50;11;24;28;29;31;4 369 264;6;441 401;1 377;2 903;52 762;125
51;21;25;27;33;36;2 732 064;4;396 418;817;2 937;31 293;126
52;5;9;31;32;36;3 306 378;8;258 772;1 028;3 031;39 422;131
